img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-ensor_skeletons-trying-to-warm-themselves-1889.jpg,3100,0.8044,18.957,7.491,7.909,85.561,6.888,101.245,102.233,85.646,42.277,-3.177,9.576,0.2253,0.2785,0.4363,54.775,45.67,49.025,18.957,9.064,12.579,0.1642,0.1588,0.203,40.571,13.048,-0.04848,-0.04366,12.977,0.503,0.4053,0.3649,-2.522,-1.475,-1.064,0.01097,1.496,2.595,0.7934,0.8053,0.0002109,94.759,4.109,4.397,0.0001206,1.667e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-mcneill-whistler_harmony-in-brown-the-felt-hat-1899.jpg,4377,0.4614,16.935,7.226,5.302,44.173,5.104,99.922,76.32,57.05,33.845,7.102,14.498,0.0695,0.3436,0.3922,55.807,36.665,19.678,16.935,6.096,13.58,0.06871,0.186,0.2185,45.919,15.887,0.02533,-0.07529,31.589,0.5422,0.4785,0.4769,-2.842,-1.445,-0.9246,0.01992,1.466,2.583,0.8324,0.7646,0.0001343,89.786,3.761,3.877,0.0001588,1.836e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-mcneill-whistler_note-in-blue-and-opal.jpg,4060,1.938,7.976,5.801,2.355,44.832,4.961,212.158,209.023,180.654,83.37,-3.456,14.57,0.1654,0.1595,0.8383,19.627,22.257,28.181,7.976,2.294,7.686,0.0454,0.1065,0.07448,0.2169,1.334,-0.005601,-0.003618,18.121,0.5297,0.4157,0.4057,-2.49,-1.913,-1.954,0.009895,1.597,2.58,0.7402,0.7666,0.0003236,75.485,3.385,3.908,0.0001793,9.569e-06,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-mcneill-whistler_nude-girl-with-a-bowl.jpg,3583,0.6279,12.569,7.021,10.206,41.171,3.638,123.952,88.25,52.115,40.187,10.447,26.449,0.08267,0.5897,0.4861,34.857,30.273,21.378,12.569,3.225,6.286,0.01159,0.07809,0.1367,40.587,7.886,-0.03618,0.01567,14.394,0.6271,0.5892,0.5849,-2.352,-0.9479,-0.6366,0.01372,1.732,2.667,0.8939,0.79,8.79e-05,91.178,4.267,4.446,0.0001425,8.925e-06,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-mcneill-whistler_study-of-a-head.jpg,3533,0.6425,13.334,6.379,4.337,30.596,4.97,54.638,44.653,39.122,18.768,3.394,5.079,0.08492,0.221,0.2162,39.962,28.667,24.002,13.334,5.348,6.039,0.1472,0.1535,0.1557,72.618,14.079,0.01375,0.06904,17.582,0.5422,0.3982,0.3749,-2.621,-1.242,-0.7749,0.03434,1.575,2.599,0.6697,0.7066,0.00036,78.85,4.273,4.055,0.0001673,1.115e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-mcneill-whistler_the-chelsea-girl.jpg,3934,0.5415,14.867,7.142,3.957,45.355,4.541,107.177,87.166,53.921,37.826,3.663,22.058,0.0993,0.5008,0.4203,37.442,36.995,22.653,14.867,4.26,8.258,0.02385,0.07994,0.1468,24.201,11.03,0.0275,0.04781,14.629,0.6466,0.493,0.4837,-2.718,-1.708,-1.27,0.01357,1.469,2.552,0.8629,0.7867,0.0002194,94.853,4.342,4.309,0.0001465,1.044e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-tissot_judas-hangs-himself-illustration-for-the-life-of-christ.jpg,4049,0.5182,12.595,6.876,4.199,89.029,5.82,86.366,81.776,65.022,34.488,-1.013,10.447,0.1782,0.2432,0.347,35.424,30.194,24.685,12.595,5.127,7.814,0.08988,0.153,0.1357,57.429,3.126,-0.001447,-0.01556,19.876,0.5323,0.5,0.5079,-2.254,-1.986,-2.038,0.007691,1.535,2.526,0.7817,0.8519,0.0002753,95.817,4.518,4.478,0.0001251,1.143e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-tissot_micah-the-prophet.jpg,4163,0.4969,17.816,7.373,3.491,96.991,2.811,132.716,130.813,124.932,54.123,-0.4176,3.452,0.1302,0.06581,0.5213,45.965,45.842,45.194,17.816,0.9074,0.9647,0.03899,0.02463,0.1798,36.361,2.97,0.002894,0.01456,18.614,0.5526,0.4807,0.4696,-2.826,-2.007,-1.952,0.006722,1.444,2.474,0.8111,0.8362,0.0003205,98.556,4.367,4.384,0.0001863,1.001e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-tissot_rear-of-the-mosque-of-omar-1889.jpg,3118,1.258,15.159,6.236,11.14,58.821,3.378,175.3,165.166,143.938,67.747,0.04942,12.317,0.1157,0.1824,0.6876,41.314,38.416,35.45,15.159,1.127,2.621,0.01779,0.04245,0.1617,5.967,11.988,-0.004893,0.05974,13.084,0.6057,0.2849,0.2807,-2.151,-1.131,-0.6824,0.008857,1.616,2.73,0.4376,0.838,0.0003405,83.388,4.434,4.461,0.0002096,1.237e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-tissot_the-ball.jpg,3661,0.6064,23.671,7.695,6.755,111.734,5.753,139.63,106.163,76.064,46.698,10.272,20.4,0.0293,0.442,0.5629,76.57,55.258,31.522,23.671,8.551,23.355,0.1914,0.1945,0.2809,21.663,12.661,0.06223,0.01163,15.997,0.4442,0.4901,0.4709,-2.369,-1.832,-1.532,0.01405,1.427,2.571,0.8365,0.8479,0.0002082,96.633,4.528,4.482,0.0001178,1.351e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-tissot_the-first-man-i-saw.jpg,3612,0.6197,16.398,7.129,8.813,118.607,0.0,160.583,160.583,160.583,65.647,-0.001728,0.003275,0.0,0.0,0.6297,42.264,42.264,42.264,16.398,0.000347,0.0006578,0.0,0.0,0.1657,7.821,10.943,0.02171,-0.05022,19.345,0.585,0.5044,0.4908,-2.293,-1.417,-1.389,0.004496,1.683,2.641,0.7489,0.8668,0.000285,96.068,4.537,4.549,0.0001972,9.914e-06,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-tissot_the-princesse-de-broglie.jpg,3850,0.56,25.286,7.836,7.481,102.822,5.418,135.571,113.371,63.342,47.914,2.924,30.28,0.1113,0.6102,0.5369,62.247,66.147,52.031,25.286,10.659,11.881,0.04749,0.2031,0.2439,30.714,13.25,-0.06512,-0.01216,17.679,0.4855,0.4507,0.4264,-2.722,-1.427,-1.283,0.002274,1.537,2.6,0.8193,0.8129,0.0002081,96.691,4.45,4.396,0.000152,1.816e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-tissot_the-prodigal-son-in-modern-life-the-fatted-calf.jpg,3237,1.342,20.939,7.328,4.633,94.58,4.554,77.427,59.736,37.062,25.531,4.261,15.656,0.09522,0.4972,0.3037,60.103,48.004,28.2,20.939,5.062,12.614,0.02684,0.1075,0.2356,62.062,16.253,-0.02884,-0.07598,12.08,0.4281,0.4848,0.4412,-2.799,-1.894,-1.653,0.003799,1.379,2.483,0.8015,0.8453,0.0002706,91.59,4.506,4.495,0.0001352,1.212e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-tissot_the-widower.jpg,3580,0.6288,20.219,7.607,10.226,98.422,5.994,90.803,92.616,61.089,37.574,-6.007,17.252,0.2044,0.3427,0.3771,53.519,49.107,35.34,20.219,5.415,12.933,0.123,0.1541,0.2047,47.022,5.45,-0.02243,0.01547,14.319,0.5189,0.5232,0.5128,-2.394,-1.392,-1.128,0.002137,1.709,2.573,0.8144,0.8457,0.0001536,96.485,4.493,4.515,0.0001075,1.299e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_james-tissot_the-window.jpg,3821,0.5666,21.244,7.109,7.841,88.876,0.0,154.592,154.592,154.592,63.053,-0.001673,0.003171,0.0,0.0,0.6062,53.949,53.949,53.949,21.244,0.0004496,0.0008522,0.0,0.0,0.2116,11.267,12.794,0.02605,0.05843,14.396,0.4857,0.4956,0.4705,-2.663,-1.441,-1.102,0.02049,1.575,2.644,0.7125,0.8125,0.000374,92.822,4.363,4.407,0.0001864,1.564e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jamie-wyeth_gull-rock-1970.jpg,3598,1.603,22.387,6.614,10.258,68.818,5.553,194.039,191.992,180.429,76.827,-1.099,6.078,0.1655,0.103,0.7667,55.131,58.634,56.141,22.387,3.553,5.342,0.1037,0.1017,0.2155,4.493,32.842,0.01489,-0.1635,15.041,0.5907,0.1197,0.1191,-1.891,-1.78,-1.128,0.01302,1.731,2.825,0.3377,0.6932,0.0002512,79.357,4.472,4.527,0.000327,1.36e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jamie-wyeth_sea-of-storms-1970.jpg,3011,1.179,29.368,7.32,6.55,84.75,5.898,126.007,126.169,118.862,51.042,-1.336,3.631,0.2215,0.1016,0.5076,76.072,74.178,67.018,29.368,2.582,5.154,0.2475,0.05134,0.294,36.944,21.102,0.03407,0.09986,19.062,0.5906,0.3174,0.3031,-2.455,-1.773,-1.232,0.008131,1.453,2.523,0.5921,0.8018,0.0003164,93.693,4.104,4.328,0.0001809,1.774e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-matejko_aleksander-jagiellonczyk.jpg,3196,0.7619,23.241,7.652,18.243,141.117,4.031,148.216,149.516,145.145,60.784,-1.326,2.227,0.2167,0.04334,0.5877,60.038,60.615,61.72,23.241,0.9061,1.484,0.1079,0.02894,0.2381,30.109,14.44,-0.05716,-0.0441,14.011,0.5838,0.5664,0.5581,-2.155,-1.618,-0.9192,0.02028,1.717,2.776,0.8792,0.8712,0.0001495,97.786,4.376,4.426,0.0001263,9.45e-06,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-matejko_armor-of-stefan-batory-1872.jpg,3136,0.7879,17.465,7.245,13.793,78.423,4.439,118.384,94.28,70.403,41.223,6.45,17.038,0.07407,0.395,0.4649,48.693,41.754,32.776,17.465,4.023,9.642,0.06915,0.1598,0.19,14.604,3.462,-0.01302,0.0114,6.82,0.4498,0.4708,0.4337,-2.245,-1.169,-0.6437,0.02222,1.756,2.714,0.6137,0.8249,0.0002003,98.994,4.448,4.479,0.0001318,1.748e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-matejko_battle-of-grunwald-detail-7.jpg,3388,0.6889,23.697,7.844,14.944,151.751,5.451,140.888,109.291,85.162,47.78,9.407,17.964,0.05746,0.3898,0.5533,66.408,59.244,44.505,23.697,8.879,12.191,0.07956,0.1637,0.2592,28.571,9.539,0.03546,0.0319,10.063,0.5726,0.5218,0.5199,-2.266,-1.636,-1.058,0.01049,1.69,2.704,0.8329,0.8625,0.0002066,98.515,4.511,4.502,0.0001105,1.251e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-matejko_dobrawa.jpg,3258,0.7367,20.644,7.539,15.494,124.232,3.754,138.667,139.888,135.798,57.278,-1.252,2.088,0.2158,0.03979,0.5496,53.331,53.901,54.804,20.644,0.8216,1.387,0.1071,0.02232,0.2119,44.027,7.009,-0.02967,-0.01866,12.703,0.5875,0.5438,0.552,-2.097,-1.746,-1.043,0.01491,1.738,2.754,0.8723,0.8566,0.0001946,98.442,4.347,4.479,0.0001267,1.025e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-matejko_krakow-morgue.jpg,2952,1.136,28.271,7.351,13.41,209.717,4.556,154.125,156.038,154.238,62.864,-1.039,0.7943,0.3211,0.03382,0.6147,72.555,73.58,74.781,28.271,1.184,1.591,0.1972,0.02736,0.2894,24.132,7.874,0.03376,-0.02026,8.634,0.5406,0.5275,0.5277,-2.326,-1.978,-1.362,0.005096,1.55,2.686,0.7728,0.8638,0.0003584,99.39,3.954,4.337,0.0002128,1.2e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-steen_little-collector-1665.jpg,2995,0.8568,20.588,7.275,7.466,118.719,6.338,73.7,53.661,43.866,23.751,7.616,9.001,0.9864,0.4834,0.2996,58.952,46.815,32.737,20.588,6.808,14.084,0.1717,0.1841,0.2219,49.869,10.363,-0.04848,-0.01829,10.155,0.5205,0.4932,0.5144,-2.694,-1.669,-1.443,0.001847,1.496,2.534,0.8353,0.8395,0.0001869,96.248,4.387,4.493,0.000118,1.361e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-steen_quack.jpg,3270,1.366,26.958,7.487,7.58,109.805,5.557,110.531,90.753,71.798,38.73,6.07,14.245,0.06827,0.4294,0.4392,68.957,68.367,70.174,26.958,5.888,12.769,0.1329,0.2334,0.267,64.465,23.704,0.03125,0.1143,21.288,0.4915,0.4796,0.4415,-2.664,-1.498,-1.327,0.001722,1.497,2.488,0.7999,0.8382,0.0001751,85.371,4.536,4.525,0.0001404,1.567e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-steen_tavern-scene.jpg,2861,0.9344,11.25,6.958,4.838,59.364,4.361,90.734,62.682,21.094,28.598,7.987,28.246,0.09399,0.764,0.3558,29.15,26.516,13.36,11.25,3.742,10.98,0.02035,0.1232,0.1143,33.141,7.737,-0.009407,0.03753,3.129,0.5626,0.5478,0.5243,-2.672,-1.6,-1.243,0.006364,1.562,2.559,0.831,0.8143,0.0001674,96.932,4.445,4.509,0.0001353,1.262e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-steen_winter-landscape.jpg,3430,1.482,23.941,7.693,5.99,56.454,6.502,131.025,137.187,136.285,55.701,-1.607,0.228,0.2976,0.2047,0.5785,54.39,61.264,68.538,23.941,3.514,12.327,0.2391,0.1569,0.2453,14.532,17.283,-0.04248,-0.07525,16.015,0.3992,0.3321,0.2832,-2.541,-1.373,-1.045,0.008632,1.473,2.618,0.7552,0.7588,0.0002393,86.248,4.36,4.41,0.0002257,1.654e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-toorop_self-portrait-1927.jpg,2965,0.873,19.741,7.329,5.759,86.01,5.087,174.499,158.868,127.142,65.454,1.115,18.624,0.1122,0.2799,0.6848,50.348,52.156,46.899,19.741,4.444,10.09,0.04341,0.1324,0.1977,13.409,20.661,0.01158,-0.1027,18.127,0.514,0.3719,0.3539,-2.261,-1.928,-1.582,0.003495,1.419,2.583,0.5901,0.7941,0.0003148,89.062,4.41,4.448,0.0001447,1.967e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-van-eyck_the-ghent-altarpiece-the-virgin-mary-1429.jpg,4575,0.4328,26.193,7.116,7.656,98.305,5.839,95.596,77.541,71.38,33.21,7.028,5.816,0.9412,0.2614,0.3769,71.894,64.643,53.564,26.193,5.128,12.728,0.1335,0.1523,0.2822,65.079,27.458,-0.03039,0.1339,17.535,0.5298,0.2804,0.2779,-2.353,-1.772,-1.313,0.01082,1.468,2.565,0.7075,0.8398,0.0001614,84.221,4.524,4.513,0.0001432,1.515e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-van-hemessen_parable-of-the-prodigal-son.jpg,3224,1.333,24.264,7.729,4.336,102.64,6.703,111.71,105.554,104.644,44.244,2.873,1.555,0.8269,0.2134,0.4793,67.282,59.781,58.204,24.264,9.367,10.372,0.358,0.1343,0.2652,36.167,11.87,-0.038,0.04559,16.593,0.4434,0.4001,0.3979,-3.01,-1.9,-1.628,0.002488,1.316,2.447,0.8549,0.8128,0.000291,97.793,4.421,4.419,0.0001586,1.846e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jan-van-hemessen_vanit.jpg,3277,0.7293,26.168,7.528,6.011,116.979,5.734,101.162,66.983,61.431,31.587,13.773,10.123,0.01322,0.5573,0.4045,65.542,65.273,63.707,26.168,12.402,11.509,0.09959,0.2882,0.2637,41.974,25.824,-0.1042,0.07625,14.573,0.4253,0.4876,0.4121,-2.896,-1.508,-1.359,0.002769,1.404,2.498,0.6384,0.8067,0.0002455,93.1,4.467,4.445,0.0001633,1.565e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jane-frank_aerial-view-no-1-1968.jpg,3240,1.344,13.21,6.843,6.379,69.747,5.734,216.187,110.062,94.662,59.455,39.079,28.876,0.02157,0.5783,0.8509,43.967,44.158,20.952,13.21,23.191,12.298,0.06776,0.1231,0.1686,6.249,3.131,0.003767,0.0152,11.425,0.4721,0.4988,0.4438,-2.261,-1.822,-1.339,0.005616,1.736,2.593,0.7942,0.7792,0.0001811,95.378,4.456,4.51,0.0002993,1.48e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_janet-fish_cut-peach-blue-vase-1993.jpg,3038,1.198,18.485,7.504,12.982,150.628,6.8,144.386,96.169,83.003,45.832,18.598,15.944,0.02044,0.4569,0.5854,61.827,46.852,40.118,18.485,17.248,19.961,0.1367,0.1973,0.2328,35.605,6.017,0.02597,-0.0152,6.192,0.5843,0.562,0.5503,-2.033,-1.346,-1.454,0.02454,1.706,2.714,0.8674,0.8492,0.0001815,97.591,4.194,4.412,9.732e-05,1.238e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_janos-mattis-teutsch_green-and-yellow-landscape-1910.jpg,3273,1.368,16.75,7.339,11.223,121.06,6.429,172.686,161.211,120.624,66.125,-1.62,22.257,0.1422,0.3118,0.6963,53.887,44.189,30.056,16.75,9.841,17.484,0.1291,0.139,0.1947,24.42,2.044,-0.009254,0.004342,8.954,0.5675,0.5281,0.5364,-2.619,-1.37,-1.047,0.01512,1.635,2.6,0.8886,0.8556,0.0001918,99.362,4.488,4.498,0.0001088,1.305e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_janos-mattis-teutsch_houses-with-trees-1910.jpg,2829,1.047,9.408,6.638,4.167,54.593,6.968,149.302,159.419,112.764,64.071,-10.3963,23.027,0.2286,0.3809,0.6675,47.917,21.545,32.718,9.408,12.561,19.921,0.1591,0.1504,0.1208,38.83,4.118,-0.01831,0.009407,4.251,0.5393,0.4789,0.4697,-2.663,-1.443,-1.183,0.01211,1.529,2.521,0.7972,0.8105,0.0003223,98.304,4.062,4.28,0.0001661,1.555e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_janos-mattis-teutsch_landscape-1917.jpg,3047,1.205,12.136,6.815,3.136,71.077,6.259,163.412,150.752,107.674,62.931,-0.2158,23.913,0.1123,0.4069,0.6853,54.587,29.929,51.375,12.136,15.898,23.468,0.1358,0.2639,0.1385,12.448,10.3,0.009309,-0.05065,5.713,0.5145,0.3915,0.3493,-3.0,-1.788,-1.506,0.004909,1.268,2.408,0.7651,0.7854,0.0004077,91.822,4.031,4.306,0.0001871,2.72e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_janos-mattis-teutsch_lonely-tree-1917.jpg,3229,1.336,16.324,7.184,4.468,74.137,6.768,82.939,109.864,117.774,44.717,-5.166,-7.322,0.5483,0.4734,0.5095,52.601,42.483,37.433,16.324,12.044,18.246,0.1717,0.2058,0.1426,56.076,11.48,0.01381,0.05572,14.12,0.557,0.4676,0.4513,-2.663,-1.844,-1.537,0.009099,1.426,2.471,0.814,0.7785,0.0003855,89.424,3.877,4.14,0.0001777,1.627e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jean-alexandru-steriadi_bucure-tiul-vechi-dinspre-sf-spiridon.jpg,3285,1.377,12.89,7.02,12.07,86.362,6.472,158.394,158.543,124.952,64.437,-5.161,17.815,0.2035,0.2688,0.6552,36.257,34.863,40.25,12.89,8.329,11.929,0.1091,0.1592,0.133,16.155,5.553,0.01287,-0.0246,8.756,0.5621,0.5413,0.5219,-2.419,-1.098,-0.8097,0.0103,1.774,2.668,0.765,0.8487,0.0001197,97.444,4.452,4.541,0.0001087,1.012e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jean-alexandru-steriadi_peisaj-de-iarn-1922.jpg,3025,1.189,17.217,7.202,9.996,95.623,6.042,173.727,163.823,144.952,67.29,0.8521,11.288,0.1389,0.1825,0.6861,41.421,46.874,46.223,17.217,5.8,8.301,0.09827,0.1441,0.1627,18.497,6.648,-0.03317,0.002171,10.357,0.5185,0.5015,0.4964,-2.392,-1.156,-1.089,0.002877,1.62,2.664,0.7395,0.8471,0.0001829,90.621,4.5,4.522,0.0001288,1.156e-05,
